"PCTChangeLT-3,(upTrend-Risky)$NA:(shortUpTrend-Risky)$NA,B@{O@[,CROSSOVER21]}S@{P@[,HARAMI]}",6.160229811682097,1,1,0
"PCTChangeGT2,NA$(downTrend-Risky):NA$NA,B@{P@[,BELTHOLD]}S@{M@[,CROSSOVER-MACD]}",-2.023608768971325,1,0,1
"PCTChangeLT-3,NA$NA:NA$(shortDownTrend-Mini),B@{}S@{M@[,CROSSOVER-MACD,RSI]}",-1.7723444080486639,1,0,1
"PCTChangeLT-3,NA$NA:(shortUpTrend-Mini)$NA,B@{P@[,XSIDEGAP3METHODS]}S@{}",-0.25243418680129415,1,0,1
"PCTChangeLT-1,(upTrend)$NA:NA$NA,B@{}S@{M@[,APO]P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,LONGLINE]}",-2.4061267645882225,1,0,1
"PCTDayChangeLT0,NA$NA:NA$NA,B@{P@[,CDLINVERTEDHAMMER,DOJI,DOJISTAR,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,SHORTLINE]}S@{}",-0.28385570668243376,1,0,1
"PCTChangeGT1,NA$(mediumDownTrend):(shortUpTrend-Risky)$NA,B@{}S@{M@[,CROSSOVER-MACD]P@[,LONGLINE]}",-1.7543859649122806,1,0,1
"PCTChangeGT2,NA$(downTrend):NA$NA,B@{M@[,CCI:BOP]P@[,ENGULFING,LONGLINE]}S@{}",3.3860759493670853,1,1,0
"PCTChangeGT0.5,NA$NA:(trendUp)$NA,B@{M@[,APO,AROON:BOP]}S@{P@[,SHOOTINGSTAR]}",0.0,1,0,0
"PCTChangeLT-3,NA$NA:NA$(shortDownTrend-Mini),B@{}S@{M@[,APO,AROON]}",7.905405405405398,1,1,0
"PCTChangeGT4,(upTrend-Risky)$NA:NA$NA,B@{M@[,ADXR20:BOP]P@[,BELTHOLD]}S@{}",-3.354632587859427,1,0,1
"PCTChangeLT-3,(upTrend-Risky)$NA:(shortUpTrend-Risky)$NA,B@{}S@{P@[,CLOSINGMARUBOZU]}",-0.032258064516136366,1,0,1
"PCTChangeGT0,NA$NA:NA$NA,B@{P@[,DOJI,LONGLEGGEDDOJI,SHORTLINE]}S@{M@[,CROSSOVER-MACD]}",4.841402337228713,1,1,0
"PCTChangeLT-4,NA$NA:(shortUpTrend-Mini)$NA,B@{}S@{P@[,BELTHOLD,3INSIDE,LONGLINE]}",-1.8684668989547077,1,0,1
"PCTChangeGT1,NA$NA:(trendUp)$(shortDownTrend-Mini),B@{}S@{P@[,CLOSINGMARUBOZU,HIKKAKE]}",-1.1704253497002632,1,0,1
"PCTChangeGT1,NA$(downTrend):NA$(shortDownTrend),B@{P@[,MORNINGSTAR,MORNINGDOJISTAR]}S@{}",-1.0059171597633068,1,0,1
"PCTChangeGT0.5,NA$NA:(shortUpTrend-MayReversal)$NA,B@{M@[,ADXR20:BOP]P@[,HIKKAKE]}S@{}",-0.8258774948382579,1,0,1
"PCTChangeGT1,NA$NA:NA$NA,B@{P@[,HARAMI,HARAMICROSS,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI]}S@{}",-2.4495677233429394,1,0,1
"PCTChangeGT0,NA$(downTrend-Risky):NA$(shortDownTrend-Mini),B@{P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,SHORTLINE]}S@{}",-3.151564478205816,1,0,1
"PCTChangeGT2,NA$(downTrend5Day-Risky):NA$(shortDownTrend-Mini),B@{M@[,AROON:BOP]P@[,SPINNINGTOP,HIGHWAVE]}S@{}",-2.56410256410256,1,0,1
"PCTChangeLT-0.5,(upTrend5Day)$NA:(shortUpTrend-MayReversal)$NA,B@{}S@{P@[,ENGULFING,HIKKAKE]}",0.8348623853210925,1,1,0
"PCTChangeLT-2,(upTrend5Day-Risky)$NA:(shortUpTrend-MayReversal)$NA,B@{}S@{P@[,HARAMI]}",0.15484670176525242,1,1,0
"PCTChangeGT1,(upTrend-Risky)$NA:NA$NA,B@{M@[,CCI:BOP]P@[,HARAMI,SHORTLINE]}S@{}",-1.7857142857142856,1,0,1
"PCTChangeLT-0.5,NA$(downTrend5Day-Risky):NA$(shortDownTrend-Risky),B@{}S@{P@[,3OUTSIDE]}",-0.1535155050660117,1,0,1
"PCTChangeGT0.5,NA$NA:NA$(shortDownTrend-Risky),B@{M@[,AROON:BOP]P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]}S@{}",-0.3355704697986647,1,0,1
"PCTChangeGT1,(upTrend)$NA:(shortUpTrend)$NA,B@{M@[,ADXR20,APO:BOP]P@[,SPINNINGTOP]O@[,CROSSOVER21]}S@{}",8.174386920980927,1,1,0
"PCTChangeGT4,NA$NA:(trendUp)$(shortDownTrend-Mini),B@{}S@{P@[,SPINNINGTOP]}",-0.09090909090909435,1,0,1
"PCTChangeGT3,NA$NA:(trendUp)$NA,B@{}S@{P@[,SPINNINGTOP]}",-0.9903560830860466,1,0,1
"PCTChangeGT1,(upTrend5Day-Risky)$NA:(shortUpTrend-Risky)$NA,B@{P@[,SPINNINGTOP,3OUTSIDE]}S@{}",-0.27700831024931144,1,0,1
"PCTDayChangeLT0,NA$NA:(shortUpTrend)$NA,B@{}S@{M@[,CROSSOVER-MACD]P@[,HANGINGMAN]}",2.490555477822856,1,1,0
"PCTChangeGT0,(upTrend5Day)$NA:NA$NA,B@{P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP]}S@{}",1.2711864406779743,1,1,0
