,-0.09460407885996294,128061
"M@[,ADXR20]P@[,3OUTSIDE,LONGLINE]",0.5359131485688488,6
"M@[,ADXR20]P@[,3OUTSIDE,SHORTLINE]",0.506271473743591,6
"M@[,ADXR20]P@[,3OUTSIDE,SHORTLINE]V@[,AD:OBV]",-1.4965986394557875,1
"M@[,ADXR20]P@[,3OUTSIDE]",0.34998196699508916,14
"M@[,ADXR20]P@[,3OUTSIDE]O@[,CROSSOVER21]",-6.459948320413436,1
"M@[,ADXR20]P@[,3OUTSIDE]O@[,CROSSOVER50]",-4.4127659574468,1
"M@[,ADXR20]P@[,BELTHOLD,3OUTSIDE,LONGLINE]",0.5758259368184226,10
"M@[,ADXR20]P@[,BELTHOLD,3OUTSIDE]",1.4517270464079362,6
"M@[,ADXR20]P@[,BELTHOLD,BREAKAWAY,LONGLINE]",-3.4921939194741167,1
"M@[,ADXR20]P@[,BELTHOLD,COUNTERATTACK,LONGLINE]",6.712962962962959,1
"M@[,ADXR20]P@[,BELTHOLD,DARKCLOUDCOVER]",0.24137931034482366,1
"M@[,ADXR20]P@[,BELTHOLD,ENGULFING,EVENINGSTAR,LONGLINE]",-0.11358473421172195,1
"M@[,ADXR20]P@[,BELTHOLD,ENGULFING,LONGLINE]",-0.13587141816079656,20
"M@[,ADXR20]P@[,BELTHOLD,ENGULFING]",0.9455350199371158,14
"M@[,ADXR20]P@[,BELTHOLD,ENGULFING]O@[,CROSSOVER21]",1.716666666666659,1
"M@[,ADXR20]P@[,BELTHOLD,ENGULFING]O@[,CROSSOVER50]",0.9460355917048883,1
"M@[,ADXR20]P@[,BELTHOLD,EVENINGSTAR,LONGLINE]",-0.20070838252656972,1
"M@[,ADXR20]P@[,BELTHOLD,EVENINGSTAR]",-6.439024390243906,1
"M@[,ADXR20]P@[,BELTHOLD,LONGLINE,SEPARATINGLINES]",-0.8799999999999953,1
"M@[,ADXR20]P@[,BELTHOLD,LONGLINE]",-0.11056567523032035,60
"M@[,ADXR20]P@[,BELTHOLD,LONGLINE]O@[,CROSSOVER21]",0.8368413255307356,2
"M@[,ADXR20]P@[,BELTHOLD,LONGLINE]O@[,CROSSOVER50]",0.253318471982977,1
"M@[,ADXR20]P@[,BELTHOLD,SEPARATINGLINES]",-2.793296089385475,1
"M@[,ADXR20]P@[,BELTHOLD]",-0.6450499309843873,61
"M@[,ADXR20]P@[,BELTHOLD]O@[,CROSSOVER21]",0.322397105498476,3
"M@[,ADXR20]P@[,BELTHOLD]O@[,CROSSOVER50]",0.8078467460968141,3
