Scrip, Date, Sentiment, Comment
GFLLIMITED,2022-05-06,NA,NA
GINNIFILA,2022-05-06,NA,NA
GLFL,2022-05-06,NA,NA
GRINDWELL,2022-05-06,NA,NA
HIL,2022-05-06,NA,NA
JUPITERIN,2022-05-06,NA,NA
KMEW,2022-05-06,NA,NA
KOKUYOCMLN,2022-05-06,NA,NA
KUSHIND,2022-05-06,NA,NA
LAHL,2022-05-06,NA,NA
LUCENT,2022-05-06,NA,NA
OROSMITHS,2022-05-06,NA,NA
PAISALO,2022-05-06,NA,NA
PAUSHAKLTD,2022-05-06,NA,NA
PNC,2022-05-06,NA,NA
PONNIERODE,2022-05-06,NA,NA
REFEX,2022-05-06,NA,NA
RELHOME,2022-05-06,NA,NA
RELIANCE,2022-05-06,NA,NA
RSYSTEMINT,2022-05-06,NA,NA
SBGLP,2022-05-06,NA,NA
SCANSTL,2022-05-06,NA,NA
SCI,2022-05-06,NA,NA
SGRL,2022-05-06,NA,NA
STOVACQ,2022-05-06,NA,NA
SUNCLAYLTD,2022-05-06,NA,NA
SUNLOC,2022-05-06,NA,NA
TANFACIND,2022-05-06,NA,NA
TATAPOWER,2022-05-06,NA,NA
VESUVIUS,2022-05-06,NA,NA
VIKASECO,2022-05-06,NA,NA
ALEXANDER,2022-05-07,NA,NA
ASUTENT,2022-05-07,NA,NA
AYMSYNTEX,2022-05-07,NA,NA
BLS,2022-05-07,NA,NA
ENVAIREL,2022-05-07,NA,NA
HIGHENE,2022-05-07,NA,NA
LANCORHOL,2022-05-07,NA,NA
MANGLMCEM,2022-05-07,NA,NA
NAVINFLUOR,2022-05-07,NA,NA
PRITIKAUTO,2022-05-07,NA,NA
SAWABUSI,2022-05-07,NA,NA
SESHAPAPER,2022-05-07,NA,NA
SHANTIGEAR,2022-05-07,NA,NA
SIYSIL,2022-05-07,NA,NA
TAMBOLI,2022-05-07,NA,NA
TRANSCOR,2022-05-07,NA,NA
VEGETABLE,2022-05-07,NA,NA
ZODIAC,2022-05-07,NA,NA
PROGREXV,2022-05-08,NA,NA
3IINFOTECH,2022-05-09,NA,NA
ABHIJIT,2022-05-09,NA,NA
BASF,2022-05-09,NA,NA
CRAFTSMAN,2022-05-09,NA,NA
DALBHARAT,2022-05-09,NA,NA
ESCORTSFIN,2022-05-09,NA,NA
GNFC,2022-05-09,NA,NA
GODREJAGRO,2022-05-09,NA,NA
INFIBEAM,2022-05-09,NA,NA
KEI,2022-05-09,NA,NA
PREMIERPOL,2022-05-09,NA,NA
PVR,2022-05-09,NA,NA
UPL*,2022-05-09,NA,NA
VISHWARAJ,2022-05-09,NA,NA
WARDINMOBI,2022-05-09,NA,NA
ALSTONE,2022-05-10,NA,NA
ARISINT,2022-05-10,NA,NA
ASIANPAINT,2022-05-10,NA,NA
CERA,2022-05-10,NA,NA
CIPLA,2022-05-10,NA,NA
DEEPAKSP,2022-05-10,NA,NA
DIKSAT,2022-05-10,NA,NA
ELANTAS,2022-05-10,NA,NA
GUJGAS,2022-05-10,NA,NA
HINDMOTORS,2022-05-10,NA,NA
INSPIRISYS,2022-05-10,NA,NA
KANSAINER,2022-05-10,NA,NA
