sellIndia,avg,count
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,3OUTSIDE]V@[,AD:OBV]",-1.8970997218911312,1
"M@[,CROSSOVER-MACD]P@[,ENGULFING,3INSIDE]",-1.8912529550827468,1
"M@[,AROON]P@[,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",-1.8858804220700507,8
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE,SEPARATINGLINES]",-1.875087138228329,6
"M@[,RSI]P@[,BELTHOLD,ENGULFING,LONGLINE,SEPARATINGLINES]",-1.869221944800597,1
"P@[,DARKCLOUDCOVER,SHORTLINE]",-1.8648580597118793,1
"M@[,RSI]P@[,ENGULFING,SPINNINGTOP]",-1.8529076396807298,1
"M@[,APO]P@[,3OUTSIDE,SHORTLINE]",-1.8423468820730915,8
"M@[,APO]P@[,CLOSINGMARUBOZU,3OUTSIDE]",-1.8255578093306402,1
"M@[,APO,AROON]P@[,LONGLINE]O@[,CROSSOVER21]",-1.8249840313897252,1
"M@[,AROON]P@[,BELTHOLD,LONGLINE]V@[,AD:OBV]",-1.8240332011805704,2
"P@[,BELTHOLD,EVENINGSTAR,EVENINGDOJISTAR,2CROWS,LONGLINE]",-1.78248687635624,2
"M@[,APO]P@[,ENGULFING,SPINNINGTOP]",-1.7297227903564278,2
"M@[,APO]P@[,BELTHOLD,ENGULFING,EVENINGSTAR,LONGLINE]",-1.7290160326941213,1
"M@[,RSI]P@[,BELTHOLD,EVENINGSTAR,2CROWS,LONGLINE]",-1.7117964648363213,2
"M@[,ADXR20]P@[,HARAMI,SPINNINGTOP,SHORTLINE]",-1.706150836774611,1
"M@[,APO]P@[,LONGLINE]O@[,CROSSOVER21]",-1.7023015116437425,1
"M@[,CROSSOVER-MACD,RSI]P@[,BELTHOLD,LONGLINE]",-1.6919035324095448,2
"M@[,ADXR40]P@[,SHOOTINGSTAR]",-1.6749660479855215,1
"P@[,BELTHOLD,COUNTERATTACK]",-1.6350717166031505,2
"M@[,APO]P@[,ENGULFING,CLOSINGMARUBOZU,HIKKAKE,LONGLINE]",-1.6129032258064515,1
"M@[,ADXR40,CROSSOVER-MACD,RSI]P@[,BELTHOLD,ENGULFING,LONGLINE]",-1.5956120668162581,1
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,EVENINGSTAR,LONGLINE]",-1.5953667351234413,7
"P@[,BELTHOLD,3INSIDE,LONGLINE,SEPARATINGLINES]",-1.5812097021799132,1
"M@[,CCI]P@[,SHOOTINGSTAR]",-1.5718908922792443,1
"M@[,APO]P@[,BELTHOLD,3OUTSIDE]",-1.561268052195495,5
"M@[,APO,AROON]P@[,ENGULFING]",-1.5432098765432098,1
"M@[,APO,AROON]P@[,BELTHOLD,3OUTSIDE,LONGLINE]",-1.5065913370998152,1
"P@[,ENGULFING,CLOSINGMARUBOZU,LONGLINE]O@[,CROSSOVER21]",-1.4442518775274409,1
"M@[,APO]P@[,ENGULFING,LONGLINE]O@[,CROSSOVER50]",-1.432863415761495,1
"M@[,AROON]P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",-1.425248872600462,6
"M@[,RSI]P@[,LONGLINE]V@[,AD:OBV]",-1.4244334639632028,1
"M@[,AROON,CROSSOVER-MACD]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]",-1.4171969182408168,8
"M@[,RSI]P@[,BELTHOLD,ENGULFING]V@[,AD:OBV]",-1.3953488372093024,1
"P@[,CLOSINGMARUBOZU,EVENINGDOJISTAR,LONGLINE]",-1.3825485848441401,1
"P@[,ENGULFING]O@[,CROSSOVER21]",-1.3803953797788153,6
"M@[,ADXR20]P@[,HARAMI,SPINNINGTOP]",-1.3725660986062842,2
"P@[,BELTHOLD,ENGULFING,SEPARATINGLINES]",-1.3559322033898276,1
"M@[,AROON,CROSSOVER-MACD]P@[,SPINNINGTOP,HIGHWAVE]O@[,CROSSOVER21]",-1.3435700575815792,1
"M@[,ADXR40,RSI]P@[,BELTHOLD]",-1.3430522872065582,1
"M@[,AROON,CROSSOVER-MACD]P@[,3OUTSIDE]",-1.3389007050301203,4
"P@[,SHOOTINGSTAR,HIKKAKE]",-1.3327494631684043,39
"M@[,ADXR40]P@[,SPINNINGTOP,HIGHWAVE]",-1.3260635433494763,1
"M@[,ADXR20]P@[,CLOSINGMARUBOZU,EVENINGSTAR,EVENINGDOJISTAR]",-1.3167973737005256,1
"M@[,AROON]P@[,BELTHOLD,DARKCLOUDCOVER]",-1.2563667232597584,1
"M@[,ADXR20,AROON]P@[,ENGULFING,LONGLINE]",-1.2515934639007857,1
"M@[,RSI]P@[,BELTHOLD,DARKCLOUDCOVER]",-1.2431284854069728,2
"M@[,APO,CROSSOVER-MACD]P@[,BELTHOLD]",-1.230986219871201,2
"M@[,AROON]P@[,ENGULFING,HIKKAKE,SHORTLINE]",-1.2235329985570624,2
"P@[,BELTHOLD,3INSIDE,LONGLINE]O@[,CROSSOVER21]",-1.2184115523465653,1
"P@[,SPINNINGTOP]O@[,CROSSOVER50]",-1.1931887412432556,3
"M@[,ADXR40,RSI]P@[,ENGULFING,SPINNINGTOP]",-1.18757612667478,1
"P@[,ENGULFING,CLOSINGMARUBOZU,HIKKAKE,LONGLINE]",-1.1856871980556412,7
"M@[,ADXR20]P@[,3INSIDE]",-1.1678131498960276,1
"M@[,APO]P@[,BELTHOLD,DARKCLOUDCOVER,LONGLINE]",-1.157742402315488,1
"P@[,ENGULFING,LONGLINE]O@[,CROSSOVER50]",-1.1511490544419414,4
"M@[,ADXR40]P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,LONGLINE]O@[,CROSSOVER50]",-1.143382836115118,1
"M@[,CROSSOVER-MACD]P@[,3INSIDE,LONGLINE]",-1.1426465167710964,1
"P@[,BELTHOLD,3OUTSIDE,LONGLINE]O@[,CROSSOVER21]",-1.1371398722224346,1
"P@[,BELTHOLD]V@[,AD:OBV]",-1.1284443070099424,4
