filterTest,avg,count
"PCTDayChangeGT0,ML:sellEveningStar-2(Check2-3MidCapCross),",1.2767804847736002,2
"PCTDayChangeGT0,ML:sellEveningStar-2(Check2-3MidCapCross),***BUYPATTERN***",0.08976660682225701,1
"PCTDayChangeGT0,sellPatterns-Risky-LT-0.9-SMALT0,(SMA9LT0),",-2.35602094240837,1
"PCTDayChangeGT0,sellPatternsML,",-1.5929203539822985,1
"PCTDayChangeGT0,sellSuperTrend-(Risky),-+,***BUYPATTERN***",1.0905125408942202,1
"PCTDayChangeGT1,",-0.05812967441442806,3623
"PCTDayChangeGT1,##(Check-chart):MaySellCheckChart-(IndexNotDownInSecondHalf),",0.07801236749557032,9
"PCTDayChangeGT1,##ML:(check-chart-2-3MidCapCross)MaySellCheckChart-1,",-0.9087110512011766,22
"PCTDayChangeGT1,##ML:(check-chart-2-3MidCapCross)MaySellCheckChart-1,##(Check-chart):MaySellCheckChart-(IndexNotDownInSecondHalf),",0.5233116788982355,5
"PCTDayChangeGT1,##ML:(check-chart-2-3MidCapCross)MaySellCheckChart-1,(Test)sellDowningMA-(check5MinuteDownTrendAndSellSupertrend)-Already10DayDown,***BUYPATTERN***",2.9178272980501454,1
"PCTDayChangeGT1,##ML:(check-chart-2-3MidCapCross)MaySellCheckChart-1,MaySell-CheckChart(yearHigh-minimumLast2DayUp),",-1.4117647058823564,1
"PCTDayChangeGT1,##ML:MaySellCheckChart-last3DayUp,",-0.44338642286403285,2
"PCTDayChangeGT1,##ML:MaySellCheckChart-last3DayUp,##(Check-chart):MaySellCheckChart-(IndexNotDownInSecondHalf),",2.0350877192982493,1
"PCTDayChangeGT1,##ML:MaySellCheckChart-last3DayUp,MaySell-CheckChart(downTrend-mayReverseLast4DaysUp)-1,##(Check-chart):MaySellCheckChart-(IndexNotDownInSecondHalf),",0.10716131854148936,2
"PCTDayChangeGT1,(SMA9GT0),mayBuyFromSellPattern-GT1.8,",4.305439330543937,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT-1,",2.4606696248487268,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT-1,##ML:(check-chart-2-3MidCapCross)MaySellCheckChart-1,",-0.06936561987639735,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT-3,",-1.2564432989690721,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT0,",-0.9489370422628581,6
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT0,##ML:(check-chart-2-3MidCapCross)MaySellCheckChart-1,",-0.9383342224642682,2
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT0,##ML:(check-chart-2-3MidCapCross)MaySellCheckChart-1,##(Check-chart):MaySellCheckChart-(IndexNotDownInSecondHalf),",2.1501976284585016,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT0,MaySell-CheckChart(downTrend-mayReverseLast4DaysUp)-1,",-2.622061482820969,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT1,",0.48926804627465065,3
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT1,MaySell-CheckChart(yearHigh-minimumLast2DayUp),",-0.3464419475655473,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT2,",0.6614617581785258,2
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT3,",-0.30965746218068063,3
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT3,##ML:MaySellCheckChart-last3DayUp,",-0.05662246968339889,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT4,",-1.0723773376460672,2
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT4,MaySell-CheckChart(yearHigh-minimumLast2DayUp),##(Check-chart):MaySellCheckChart-(IndexNotDownInSecondHalf),",-1.9529837251356157,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT5,",2.0158144159334155,5
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT5,##ML:(check-chart-2-3MidCapCross)MaySellCheckChart-1,",-0.021251684273628113,2
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT5,##ML:(check-chart-2-3MidCapCross)MaySellCheckChart-1,##(Check-chart):MaySellCheckChart-(IndexNotDownInSecondHalf),",1.6113884945575048,2
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT5,##ML:MaySellCheckChart-last3DayUp,MaySell-CheckChart(downTrend-mayReverseLast4DaysUp)-1,",-0.9962640099626366,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT5,MaySell-CheckChart(downTrend-mayReverseLast4DaysUp)-1,",-2.6572517896047345,2
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal,month2HighChangeGT5,buyEveningStar-0(Buy-After-1pc-down),",3.251514185527571,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal-risky,month2HighChangeGT-1,",1.2108559498956222,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal-risky,month2HighChangeGT-1,##(Check-chart):MaySellCheckChart-(IndexNotDownInSecondHalf),",-0.0682571670025323,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal-risky,month2HighChangeGT-2,##(Check-chart):MaySellCheckChart-(IndexNotDownInSecondHalf),",-0.3198099415204678,1
"PCTDayChangeGT1,(Test)MaySellCheckChart-month2HighReversal-risky,month2HighChangeGT-2,##ML:(check-chart-2-3MidCapCross)MaySellCheckChart-1,",0.8045212765957386,1
