,-0.09145928671215929,176898
"M@[,ADXR20,CCI:BOP]P@[,HARAMI,SHORTLINE]",0.26964560862865716,1
"M@[,ADXR20,CCI:BOP]P@[,HARAMI,SPINNINGTOP,HIGHWAVE]",-0.07017972176535325,1
"M@[,ADXR20,CCI:BOP]P@[,HARAMI,SPINNINGTOP]",0.07223426742393924,2
"M@[,ADXR20,CCI:BOP]P@[,HARAMI]",-2.0000020866720085,1
"M@[,ADXR20,CCI:BOP]P@[,LONGLINE]",0.4886477481444294,7
"M@[,ADXR20,CCI:BOP]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]",5.59409621098851,1
"M@[,ADXR20,CCI:BOP]P@[,SHORTLINE]",-0.10126559061061896,11
"M@[,ADXR20,CCI:BOP]P@[,SPINNINGTOP,SHORTLINE]",-2.9311386436867366,1
"M@[,ADXR20,CCI:BOP]P@[,SPINNINGTOP]",-0.30366024073444986,8
"M@[,ADXR20,RSI:BOP]",-3.933623825562033,4
"M@[,ADXR20,RSI:BOP]P@[,BELTHOLD,ENGULFING]",-7.288166808320545,1
"M@[,ADXR20,RSI:BOP]P@[,CLOSINGMARUBOZU]",-1.7340312821219444,1
"M@[,ADXR20,RSI:BOP]P@[,HARAMI]",2.115219056265859,2
"M@[,ADXR20,RSI:BOP]P@[,MORNINGSTAR,MORNINGDOJISTAR]",-7.185938587539717,1
"M@[,ADXR20,RSI:BOP]P@[,SHORTLINE]",0.11477276479406193,2
"M@[,ADXR20,RSI:BOP]P@[,SPINNINGTOP,HIGHWAVE,HIKKAKE]",-5.111937261932531,1
"M@[,ADXR20,RSI:BOP]P@[,SPINNINGTOP]",-0.874344268481492,1
"M@[,ADXR20:BOP]",-0.03265817978182117,559
"M@[,ADXR20:BOP]O@[,CROSSOVER21]",-0.5547106504876894,14
"M@[,ADXR20:BOP]O@[,CROSSOVER50]",0.20775042485988324,6
"M@[,ADXR20:BOP]P@[,3INSIDE,LONGLINE]",-0.49888278762048727,2
"M@[,ADXR20:BOP]P@[,3INSIDE]",1.15736057632113,5
"M@[,ADXR20:BOP]P@[,3INSIDE]O@[,CROSSOVER21]",-2.063955262649902,1
"M@[,ADXR20:BOP]P@[,3OUTSIDE,LONGLINE]",2.1348663529942353,1
"M@[,ADXR20:BOP]P@[,3OUTSIDE,SHORTLINE]",-0.8361844384372223,3
"M@[,ADXR20:BOP]P@[,3OUTSIDE,SHORTLINE]O@[,CROSSOVER21]",-1.8807092343958127,1
"M@[,ADXR20:BOP]P@[,3OUTSIDE]",-0.9249175123364927,14
"M@[,ADXR20:BOP]P@[,BELTHOLD,3INSIDE]",1.1597328195040697,1
"M@[,ADXR20:BOP]P@[,BELTHOLD,3OUTSIDE,LONGLINE]",1.7352922395209163,4
"M@[,ADXR20:BOP]P@[,BELTHOLD,3OUTSIDE,LONGLINE]O@[,CROSSOVER21]",-1.8301825772498719,1
"M@[,ADXR20:BOP]P@[,BELTHOLD,3OUTSIDE]",-0.5417897909146377,4
"M@[,ADXR20:BOP]P@[,BELTHOLD,3OUTSIDE]O@[,CROSSOVER50]",-2.1188418783243144,2
"M@[,ADXR20:BOP]P@[,BELTHOLD,ENGULFING,3INSIDE,LONGLINE]",-0.9330429462488963,1
"M@[,ADXR20:BOP]P@[,BELTHOLD,ENGULFING,LONGLINE]",-0.10280989459788537,18
"M@[,ADXR20:BOP]P@[,BELTHOLD,ENGULFING,LONGLINE]O@[,CROSSOVER21]",-1.936239806931708,1
"M@[,ADXR20:BOP]P@[,BELTHOLD,ENGULFING,LONGLINE]O@[,CROSSOVER50]",2.0670638685556293,1
"M@[,ADXR20:BOP]P@[,BELTHOLD,ENGULFING,LONGLINE]V@[,AD:OBV]",9.54091572713947,1
"M@[,ADXR20:BOP]P@[,BELTHOLD,ENGULFING]",-0.8466189629970398,6
"M@[,ADXR20:BOP]P@[,BELTHOLD,LONGLINE,SEPARATINGLINES]",-0.8098158862910098,3
"M@[,ADXR20:BOP]P@[,BELTHOLD,LONGLINE]",0.33197434933178743,61
"M@[,ADXR20:BOP]P@[,BELTHOLD,LONGLINE]O@[,CROSSOVER21]",-0.11813675844524085,3
"M@[,ADXR20:BOP]P@[,BELTHOLD,MORNINGSTAR,MORNINGDOJISTAR,SEPARATINGLINES]",-0.7294470034845432,1
"M@[,ADXR20:BOP]P@[,BELTHOLD,MORNINGSTAR,MORNINGDOJISTAR]",-0.8098279383011383,1
"M@[,ADXR20:BOP]P@[,BELTHOLD,PIERCING,LONGLINE]",2.3002880474723453,2
"M@[,ADXR20:BOP]P@[,BELTHOLD,SEPARATINGLINES]",0.6610753907215501,2
"M@[,ADXR20:BOP]P@[,BELTHOLD]",-0.5307032042646643,77
"M@[,ADXR20:BOP]P@[,BELTHOLD]O@[,CROSSOVER21]",-1.4710546369533435,2
