buyIndia,avg,count
"M@[,APO:BOP]P@[,CLOSINGMARUBOZU,3WHITESOLDIERS,LONGLINE]",-2.698650674662664,1
"M@[,CCI,RSI:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI]",-2.6851851851851904,1
"M@[,ADXR40:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE]",-2.6750591655090803,2
"M@[,CCI:BOP]P@[,LONGLINE]V@[,AD:OBV]",-2.65384615384616,1
"M@[,ADXR40,CCI:BOP]P@[,ENGULFING,MORNINGSTAR,MORNINGDOJISTAR,LONGLINE]",-2.62751159196291,1
"M@[,ADXR40:BOP]P@[,BELTHOLD,ENGULFING]",-2.599451366858133,2
"M@[,ADXR40,RSI:BOP]P@[,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,TAKURI]",-2.599388379204893,1
"M@[,ADXR20:BOP]P@[,UNIQUE3RIVER]",-2.596395547861934,2
"P@[,ENGULFING,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE]",-2.5796262174256266,1
"P@[,HAMMER,HARAMI,HIKKAKE,HOMINGPIGEON,MATCHINGLOW]",-2.57563222179458,2
"M@[,APO,CCI:BOP]P@[,BELTHOLD,LONGLINE]",-2.564461518426876,2
"P@[,CLOSINGMARUBOZU,3OUTSIDE]O@[,CROSSOVER50]",-2.552877261458942,1
"M@[,CCI:BOP]P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,HIKKAKE,RICKSHAWMAN,SHORTLINE]",-2.5396825396825395,1
"P@[,BELTHOLD,3OUTSIDE,LONGLINE]O@[,CROSSOVER50]",-2.526315789473684,1
"P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE]O@[,CROSSOVER50]",-2.5153347089618308,2
"P@[,HAMMER,ENGULFING,HIKKAKE]",-2.5109605420486294,1
"M@[,CCI:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,3OUTSIDE,RICKSHAWMAN,SHORTLINE]",-2.4983984625240265,1
"M@[,ADXR40:BOP]P@[,HIKKAKE]",-2.4888676844783677,1
"M@[,APO,AROON:BOP]P@[,BELTHOLD,LONGLINE]O@[,CROSSOVER21]",-2.444894856853301,1
"M@[,ADXR20,RSI:BOP]P@[,BELTHOLD]",-2.432108190642377,1
"M@[,ADXR40:BOP]P@[,CLOSINGMARUBOZU,LONGLINE]",-2.42121104815864,1
"M@[,ADXR20:BOP]P@[,SPINNINGTOP,HIGHWAVE]V@[,AD:OBV]",-2.416734362307063,1
"M@[,CCI:BOP]P@[,BELTHOLD,3INSIDE]O@[,CROSSOVER21]",-2.41194486983154,1
"P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,HIKKAKE]O@[,CROSSOVER50]",-2.3705344779839357,1
"P@[,HAMMER,HARAMI,SHORTLINE]",-2.3699421965317886,1
"M@[,AROON:BOP]P@[,BELTHOLD,3INSIDE]",-2.329805825446121,3
"M@[,CCI:BOP]P@[,CDLINVERTEDHAMMER,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN]",-2.3294723294723374,1
"M@[,ADXR40,CCI,RSI:BOP]P@[,ENGULFING,LONGLINE]",-2.3278370514063935,1
"M@[,CCI,RSI:BOP]P@[,BELTHOLD,SEPARATINGLINES]",-2.3234727530645625,2
"M@[,RSI]P@[,HAMMER,MATCHINGLOW]",-2.307692307692308,1
"M@[,CCI,RSI:BOP]P@[,BELTHOLD,3OUTSIDE]",-2.283539486203608,2
"P@[,CLOSINGMARUBOZU,HIKKAKE,LONGLINE]",-2.270011947431309,1
"M@[,RSI:BOP]P@[,HIKKAKE,SHORTLINE]",-2.2625827304910024,2
"M@[,AROON:BOP]P@[,SPINNINGTOP,3OUTSIDE,HIGHWAVE]",-2.2609031222210585,2
"P@[,HAMMER,HARAMI,HIKKAKE,HOMINGPIGEON]",-2.255278102109004,2
"M@[,CCI:BOP]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,3INSIDE,LONGLINE]V@[,AD:OBV]",-2.2412387938060307,2
"M@[,CCI:BOP]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,3OUTSIDE,LONGLINE]",-2.225494731431504,2
"P@[,BELTHOLD,ENGULFING,LONGLINE]O@[,CROSSOVER21,CROSSOVER50]",-2.196162046908318,1
"M@[,ADXR20,AROON:BOP]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]",-2.190288912418699,1
"P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,3INSIDE,HIGHWAVE,UNIQUE3RIVER]",-2.18978102189781,1
"M@[,RSI:BOP]V@[,AD]",-2.1894736842105216,1
"P@[,ENGULFING,CLOSINGMARUBOZU,3INSIDE,LONGLINE]",-2.186479319180096,3
"M@[,CCI:BOP]P@[,ENGULFING,3INSIDE,LONGLINE]",-2.185350621674848,2
"M@[,RSI,CCI:BOP]P@[,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE,TAKURI]",-2.1550835223757456,1
"M@[,ADXR40:BOP]P@[,CDLINVERTEDHAMMER,HIKKAKE,SHORTLINE]",-2.147239263803681,1
"M@[,AROON,CCI:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI]",-2.144035184167128,1
"P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,HIKKAKE,RICKSHAWMAN]O@[,CROSSOVER21]",-2.142857142857143,1
"M@[,CCI:BOP]P@[,HAMMER,HIKKAKE]",-2.141414141414146,1
"M@[,RSI:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN]",-2.119577009092682,3
"M@[,CCI:BOP]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,MORNINGSTAR,MORNINGDOJISTAR,LONGLINE]",-2.1053525833466984,4
"M@[,ADXR20,AROON:BOP]P@[,BELTHOLD]",-2.0914176330672336,3
"M@[,ADXR20:BOP]P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE]",-2.0545146792739186,1
"M@[,AROON:BOP]P@[,RISEFALL3METHODS]",-2.045677284128469,2
"M@[,ADXR20:BOP]P@[,HIKKAKE,SHORTLINE]",-2.044854881266491,1
"M@[,APO,AROON:BOP]P@[,CLOSINGMARUBOZU,LONGLINE]",-2.037267666239065,3
"M@[,ADXR20,AROON:BOP]P@[,SPINNINGTOP]",-2.030141843971639,1
"P@[,HARAMI,HARAMICROSS,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,TAKURI]",-2.015306122448974,1
"P@[,MORNINGSTAR]O@[,CROSSOVER21]",-2.0141481627038713,1
"M@[,ADXR40:BOP]P@[,BELTHOLD,MORNINGSTAR]",-2.0124428643981744,1
"M@[,ADXR20:BOP]P@[,ENGULFING,SPINNINGTOP,HIKKAKE,SHORTLINE]",-2.003338898163599,1
"M@[,APO:BOP]P@[,3INSIDE]",-1.9953051643192468,1
"M@[,RSI:BOP]P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,SHORTLINE]",-1.9917081260364904,1
"M@[,APO,AROON:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",-1.9863200530263914,2
"M@[,ADXR40,RSI:BOP]P@[,HARAMI]",-1.9852542437654168,3
"M@[,ADXR40:BOP]P@[,CDLINVERTEDHAMMER,SHORTLINE]",-1.9846063878587963,1
"P@[,DOJI,DOJISTAR,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,SHORTLINE]",-1.9801980198019802,1
"P@[,BELTHOLD,3INSIDE,SEPARATINGLINES]",-1.9787725935266909,2
"M@[,CCI:BOP]P@[,ENGULFING,SPINNINGTOP,SHORTLINE]",-1.968215158924208,1
"M@[,CCI:BOP]P@[,SPINNINGTOP,3INSIDE,SHORTLINE]",-1.9574944071588367,1
"M@[,ADXR20:BOP]P@[,SPINNINGTOP]O@[,CROSSOVER50]",-1.956140350877189,1
"M@[,ADXR40,AROON:BOP]P@[,HARAMI,SHORTLINE]",-1.9523360710919615,1
